#SampleID	tube.number	empty.tube.weight..mg.	full.tube.weight..mg.	sample.weight..mg.	volume.of.water.for.homogenization..50.mg.in.125.uL.	volume.of.methnanol.for.homogenization..50.mg.in.125.uL..minus.10.uL.volume.removed.for.DNA..except.for.samples.below.60.ul.	final.volume_aq	volume.plated_aq	DCM.MeOH.volume..50.mg.in.250.uL.	volume.plated_org	mouse.number	study	sample.type	position	Organ_Position	Digitzed_Organ_Position	days.post.infection	condition	Organ_Posotion_condition_days	imaging.plate.position	collection.date	luminescence_counts	well_Pos
GIMap_P1_SI_Aq.Org_Mixed_C5.mzXML.Peak.area	114	1008.9	1291.1	282.2	705.5	695.5	1401	110	1411	100	m7	GI map rep 1	small intestine	C	small intestine_C	6	12	uninfected	small intestine_C_uninfected_12	C4	42844	30.89	P1_C5
GIMap_P1_SI_Aq.Org_Mixed_C6.mzXML.Peak.area	115	1011.6	1266.7	255.1	637.75	627.75	1265.5	110	1275.5	100	m7	GI map rep 1	small intestine	B/a	small intestine_B/a	5	12	uninfected	small intestine_B/a_uninfected_12	C5	42844	32.55	P1_C6
GIMap_P2_Aq.Org_Mixed_B6.mzXML.Peak.area	117	1006.4	1132.5	126.1	315.25	305.25	620.5	110	630.5	100	m7	GI map rep 1	stomach	C	stomach_C	4	12	uninfected	stomach_C_uninfected_12	C7	42844	25.41	P2_B6
GIMap_P2_Aq.Org_Mixed_B7.mzXML.Peak.area	118	1013.3	1090.1	76.8	192	182	374	110	384	100	m7	GI map rep 1	stomach	B	stomach_B	3	12	uninfected	stomach_B_uninfected_12	C8	42844	5.294	P2_B7
GIMap_P2_Aq.Org_Mixed_B8.mzXML.Peak.area	119	1008.7	1054.4	45.7	114.25	104.25	218.5	110	228.5	100	m7	GI map rep 1	stomach	A	stomach_A	2	12	uninfected	stomach_A_uninfected_12	C9	42844	55.05	P2_B8
P1_Aq.Org_Mixed_A5.mzXML.Peak.area	120	1013	1039.6	26.6	66.5	66.5	133	110	133	100	m7	GI map rep 1	oesophagus	NA	oesophagus_NA	1	12	uninfected	oesophagus_NA_uninfected_12	C10	42844	64.09	P1_A5
GIMap_P1_LI_Aq.Org_Mixed_C3.mzXML.Peak.area	123	1010.7	1083.8	73.1	182.75	172.75	355.5	110	365.5	100	m8	GI map rep 1	large intestine	C	large intestine_C	13	12	infected	large intestine_C_infected_12	D1	42844	15160	P1_C3
GIMap_P1_LI_Aq.Org_Mixed_C4.mzXML.Peak.area	124	1024.4	1120.5	96.1	240.25	230.25	470.5	110	480.5	100	m8	GI map rep 1	large intestine	B	large intestine_B	12	12	infected	large intestine_B_infected_12	D2	42844	4194	P1_C4
GIMap_P1_LI_Aq.Org_Mixed_C5.mzXML.Peak.area	125	1009.3	1082.6	73.3	183.25	173.25	356.5	110	366.5	100	m8	GI map rep 1	large intestine	A	large intestine_A	11	12	infected	large intestine_A_infected_12	D3	42844	1290	P1_C5
GIMap_P1_LI_Aq.Org_Mixed_C6.mzXML.Peak.area	126	1014.4	1203.7	189.3	473.25	463.25	936.5	110	946.5	100	m8	GI map rep 1	cecum	NA	cecum_NA	10	12	infected	cecum_NA_infected_12	D4	42844	461.4	P1_C6
GIMap_P1_SI_Aq.Org_Mixed_C8.mzXML.Peak.area	128	1012.8	1085.8	73	182.5	172.5	355	110	365	100	m8	GI map rep 1	small intestine	F	small intestine_F	9	12	infected	small intestine_F_infected_12	D6	42844	1962	P1_C8
GIMap_P1_SI_Aq.Org_Mixed_C9.mzXML.Peak.area	129	1024.4	1139.9	115.5	288.75	278.75	567.5	110	577.5	100	m8	GI map rep 1	small intestine	E	small intestine_E	8	12	infected	small intestine_E_infected_12	D7	42844	2216	P1_C9
GIMap_P1_SI_Aq.Org_Mixed_C10.mzXML.Peak.area	130	1011.5	1253.8	242.3	605.75	595.75	1201.5	110	1211.5	100	m8	GI map rep 1	small intestine	D	small intestine_D	7	12	infected	small intestine_D_infected_12	D8	42844	878.1	P1_C10
GIMap_P1_SI_Aq.Org_Mixed_C11.mzXML.Peak.area	131	1018	1318.4	300.4	751	741	1492	110	1502	100	m8	GI map rep 1	small intestine	C	small intestine_C	6	12	infected	small intestine_C_infected_12	D9	42844	1285	P1_C11
GIMap_P1_SI_Aq.Org_Mixed_C12.mzXML.Peak.area	132	1011.1	1277.6	266.5	666.25	656.25	1322.5	110	1332.5	100	m8	GI map rep 1	small intestine	B/a	small intestine_B/a	5	12	infected	small intestine_B/a_infected_12	D10	42844	16090	P1_C12
GIMap_P2_Aq.Org_Mixed_B10.mzXML.Peak.area	134	1011.8	1143	131.2	328	318	646	110	656	100	m8	GI map rep 1	stomach	C	stomach_C	4	12	infected	stomach_C_infected_12	D12	42844	4598	P2_B10
GIMap_P2_Aq.Org_Mixed_B11.mzXML.Peak.area	135	1028.2	1116.5	88.3	220.75	210.75	431.5	110	441.5	100	m8	GI map rep 1	stomach	B	stomach_B	3	12	infected	stomach_B_infected_12	E1	42844	1403	P2_B11
GIMap_P2_Aq.Org_Mixed_B12.mzXML.Peak.area	136	1036.3	1073.3	37	92.5	82.5	175	110	185	100	m8	GI map rep 1	stomach	A	stomach_A	2	12	infected	stomach_A_infected_12	E2	42844	9370	P2_B12
P1_Aq.Org_Mixed_A6.mzXML.Peak.area	137	1034.3	1059.1	24.8	62	62	124	110	124	100	m8	GI map rep 1	oesophagus	NA	oesophagus_NA	1	12	infected	oesophagus_NA_infected_12	E3	42844	2523	P1_A6
GIMap_P1_LI_Aq.Org_Mixed_C8.mzXML.Peak.area	140	1044.1	1127.2	83.1	207.75	197.75	405.5	110	415.5	100	m9	GI map rep 1	large intestine	C	large intestine_C	13	12	infected	large intestine_C_infected_12	E6	42844	4291	P1_C8
GIMap_P1_LI_Aq.Org_Mixed_C9.mzXML.Peak.area	141	1034.8	1125.5	90.7	226.75	216.75	443.5	110	453.5	100	m9	GI map rep 1	large intestine	B	large intestine_B	12	12	infected	large intestine_B_infected_12	E7	42844	4697	P1_C9
GIMap_P1_LI_Aq.Org_Mixed_C10.mzXML.Peak.area	142	1038.4	1112.2	73.8	184.5	174.5	359	110	369	100	m9	GI map rep 1	large intestine	A	large intestine_A	11	12	infected	large intestine_A_infected_12	E8	42844	2908	P1_C10
GIMap_P1_LI_Aq.Org_Mixed_C11.mzXML.Peak.area	143	1036.7	1157.2	120.5	301.25	291.25	592.5	110	602.5	100	m9	GI map rep 1	cecum	NA	cecum_NA	10	12	infected	cecum_NA_infected_12	E9	42844	426.2	P1_C11
GIMap_P1_SI_Aq.Org_Mixed_D2.mzXML.Peak.area	145	1037.5	1113.7	76.2	190.5	180.5	371	110	381	100	m9	GI map rep 1	small intestine	F	small intestine_F	9	12	infected	small intestine_F_infected_12	E11	42844	3388	P1_D2
GIMap_P1_SI_Aq.Org_Mixed_D3.mzXML.Peak.area	146	1050.7	1157.2	106.5	266.25	256.25	522.5	110	532.5	100	m9	GI map rep 1	small intestine	E	small intestine_E	8	12	infected	small intestine_E_infected_12	E12	42844	6104	P1_D3
GIMap_P1_SI_Aq.Org_Mixed_D4.mzXML.Peak.area	147	1040.3	1296.3	256	640	630	1270	110	1280	100	m9	GI map rep 1	small intestine	D	small intestine_D	7	12	infected	small intestine_D_infected_12	F1	42844	8169	P1_D4
GIMap_P1_SI_Aq.Org_Mixed_D5.mzXML.Peak.area	148	1044.2	1342.4	298.2	745.5	735.5	1481	110	1491	100	m9	GI map rep 1	small intestine	C	small intestine_C	6	12	infected	small intestine_C_infected_12	F2	42844	6310	P1_D5
GIMap_P1_SI_Aq.Org_Mixed_D6.mzXML.Peak.area	149	1028	1369.3	341.3	853.25	843.25	1696.5	110	1706.5	100	m9	GI map rep 1	small intestine	B/a	small intestine_B/a	5	12	infected	small intestine_B/a_infected_12	F3	42844	9782	P1_D6
GIMap_P2_Aq.Org_Mixed_C2.mzXML.Peak.area	151	1039.3	1183.6	144.3	360.75	350.75	711.5	110	721.5	100	m9	GI map rep 1	stomach	C	stomach_C	4	12	infected	stomach_C_infected_12	F5	42844	1706	P2_C2
GIMap_P2_Aq.Org_Mixed_C3.mzXML.Peak.area	152	1033	1112.7	79.7	199.25	189.25	388.5	110	398.5	100	m9	GI map rep 1	stomach	B	stomach_B	3	12	infected	stomach_B_infected_12	F6	42844	2224	P2_C3
GIMap_P2_Aq.Org_Mixed_C4.mzXML.Peak.area	153	1033.7	1076.3	42.6	106.5	96.5	203	110	213	100	m9	GI map rep 1	stomach	A	stomach_A	2	12	infected	stomach_A_infected_12	F7	42844	2196	P2_C4
P1_Aq.Org_Mixed_A7.mzXML.Peak.area	154	1035.2	1057.4	22.2	55.5	55.5	111	55	111	100	m9	GI map rep 1	oesophagus	NA	oesophagus_NA	1	12	infected	oesophagus_NA_infected_12	F8	42844	880.6	P1_A7
GIMap_P1_LI_Aq.Org_Mixed_D3.mzXML.Peak.area	159	1035.3	1119	83.7	209.25	199.25	408.5	110	418.5	100	m10	GI map rep 1	large intestine	A	large intestine_A	11	12	infected	large intestine_A_infected_12	G1	42844	11980	P1_D3
GIMap_P1_SI_Aq.Org_Mixed_D8.mzXML.Peak.area	162	1034.8	1102.9	68.1	170.25	160.25	330.5	110	340.5	100	m10	GI map rep 1	small intestine	F	small intestine_F	9	12	infected	small intestine_F_infected_12	G4	42844	9333	P1_D8
GIMap_P1_SI_Aq.Org_Mixed_D9.mzXML.Peak.area	163	1033.7	1145.1	111.4	278.5	268.5	547	110	557	100	m10	GI map rep 1	small intestine	E	small intestine_E	8	12	infected	small intestine_E_infected_12	G5	42844	14720	P1_D9
GIMap_P1_SI_Aq.Org_Mixed_D10.mzXML.Peak.area	164	1035.5	1293.1	257.6	644	634	1278	110	1288	100	m10	GI map rep 1	small intestine	D	small intestine_D	7	12	infected	small intestine_D_infected_12	G6	42844	8587	P1_D10
GIMap_P1_SI_Aq.Org_Mixed_D11.mzXML.Peak.area	165	1035.1	1304.7	269.6	674	664	1338	110	1348	100	m10	GI map rep 1	small intestine	C	small intestine_C	6	12	infected	small intestine_C_infected_12	G7	42844	3058	P1_D11
GIMap_P1_SI_Aq.Org_Mixed_D12.mzXML.Peak.area	166	1033.4	1379.2	345.8	864.5	854.5	1719	110	1729	100	m10	GI map rep 1	small intestine	B/a	small intestine_B/a	5	12	infected	small intestine_B/a_infected_12	G8	42844	9167	P1_D12
GIMap_P2_Aq.Org_Mixed_C6.mzXML.Peak.area	168	1040.2	1129.8	89.6	224	214	438	110	448	100	m10	GI map rep 1	stomach	C	stomach_C	4	12	infected	stomach_C_infected_12	G10	42844	2554	P2_C6
GIMap_P2_Aq.Org_Mixed_C7.mzXML.Peak.area	169	1037.7	1108.3	70.6	176.5	166.5	343	110	353	100	m10	GI map rep 1	stomach	B	stomach_B	3	12	infected	stomach_B_infected_12	G11	42844	1914	P2_C7
GIMap_P2_Aq.Org_Mixed_C8.mzXML.Peak.area	170	1040	1088.1	48.1	120.25	110.25	230.5	110	240.5	100	m10	GI map rep 1	stomach	A	stomach_A	2	12	infected	stomach_A_infected_12	G12	42844	3835	P2_C8
P1_Aq.Org_Mixed_A8.mzXML.Peak.area	171	1037.8	1060.7	22.9	57.25	57.25	114.5	55	114.5	100	m10	GI map rep 1	oesophagus	NA	oesophagus_NA	1	12	infected	oesophagus_NA_infected_12	H1	42844	2727	P1_A8
GIMap_P1_LI_Aq.Org_Mixed_D6.mzXML.Peak.area	174	1027.9	1091.9	64	160	150	310	110	320	100	m11	GI map rep 1	large intestine	C	large intestine_C	13	12	infected	large intestine_C_infected_12	A3	42844	27190	P1_D6
GIMap_P1_LI_Aq.Org_Mixed_D7.mzXML.Peak.area	175	1039.8	1138.3	98.5	246.25	236.25	482.5	110	492.5	100	m11	GI map rep 1	large intestine	B	large intestine_B	12	12	infected	large intestine_B_infected_12	A4	42844	17240	P1_D7
GIMap_P1_LI_Aq.Org_Mixed_D8.mzXML.Peak.area	176	1033	1091.8	58.8	147	137	284	110	294	100	m11	GI map rep 1	large intestine	A	large intestine_A	11	12	infected	large intestine_A_infected_12	A5	42844	2110	P1_D8
GIMap_P1_LI_Aq.Org_Mixed_D9.mzXML.Peak.area	177	1042	1156.1	114.1	285.25	275.25	560.5	110	570.5	100	m11	GI map rep 1	cecum	NA	cecum_NA	10	12	infected	cecum_NA_infected_12	A6	42844	1034	P1_D9
GIMap_P1_SI_Aq.Org_Mixed_E2.mzXML.Peak.area	179	1036.3	1098.5	62.2	155.5	145.5	301	110	311	100	m11	GI map rep 1	small intestine	F	small intestine_F	9	12	infected	small intestine_F_infected_12	A8	42844	7881	P1_E2
GIMap_P1_SI_Aq.Org_Mixed_E3.mzXML.Peak.area	180	1047.9	1145.9	98	245	235	480	110	490	100	m11	GI map rep 1	small intestine	E	small intestine_E	8	12	infected	small intestine_E_infected_12	A9	42844	3101	P1_E3
GIMap_P1_SI_Aq.Org_Mixed_E4.mzXML.Peak.area	181	1037.4	1289	251.6	629	619	1248	110	1258	100	m11	GI map rep 1	small intestine	D	small intestine_D	7	12	infected	small intestine_D_infected_12	A10	42844	7502	P1_E4
GIMap_P1_SI_Aq.Org_Mixed_E5.mzXML.Peak.area	182	1035.6	1365.4	329.8	824.5	814.5	1639	110	649	100	m11	GI map rep 1	small intestine	C	small intestine_C	6	12	infected	small intestine_C_infected_12	A11	42844	34650	P1_E5
GIMap_P1_SI_Aq.Org_Mixed_E6.mzXML.Peak.area	183	1033.2	1223.3	190.1	475.25	465.25	940.5	110	950.5	100	m11	GI map rep 1	small intestine	B/a	small intestine_B/a	5	12	infected	small intestine_B/a_infected_12	A12	42844	36590	P1_E6
GIMap_P2_Aq.Org_Mixed_C10.mzXML.Peak.area	185	1040	1209.2	169.2	423	413	836	110	846	100	m11	GI map rep 1	stomach	C	stomach_C	4	12	infected	stomach_C_infected_12	B2	42844	13030	P2_C10
GIMap_P2_Aq.Org_Mixed_C11.mzXML.Peak.area	186	1050.1	1099.1	49	122.5	112.5	235	110	245	100	m11	GI map rep 1	stomach	B	stomach_B	3	12	infected	stomach_B_infected_12	B3	42844	5233	P2_C11
GIMap_P2_Aq.Org_Mixed_C12.mzXML.Peak.area	187	1039.6	1074.1	34.5	86.25	76.25	162.5	110	172.5	100	m11	GI map rep 1	stomach	A	stomach_A	2	12	infected	stomach_A_infected_12	B4	42844	21140	P2_C12
P1_Aq.Org_Mixed_A9.mzXML.Peak.area	188	1053.3	1074.8	21.5	53.75	53.75	107.5	55	107.5	50	m11	GI map rep 1	oesophagus	NA	oesophagus_NA	1	12	infected	oesophagus_NA_infected_12	B5	42844	7694	P1_A9
GIMap_P1_LI_Aq.Org_Mixed_D11.mzXML.Peak.area	191	1027.7	1087.7	60	150	140	290	110	300	100	m12	GI map rep 1	large intestine	C	large intestine_C	13	12	infected	large intestine_C_infected_12	B8	42844	4148	P1_D11
GIMap_P1_LI_Aq.Org_Mixed_D12.mzXML.Peak.area	192	1037.5	1117.5	80	200	190	390	110	400	100	m12	GI map rep 1	large intestine	B	large intestine_B	12	12	infected	large intestine_B_infected_12	B9	42844	5397	P1_D12
GIMap_P1_LI_Aq.Org_Mixed_E1.mzXML.Peak.area	193	1033.4	1114.9	81.5	203.75	193.75	397.5	110	407.5	100	m12	GI map rep 1	large intestine	A	large intestine_A	11	12	infected	large intestine_A_infected_12	B10	42844	1397	P1_E1
GIMap_P1_LI_Aq.Org_Mixed_E2.mzXML.Peak.area	194	1041	1181.6	140.6	351.5	341.5	693	110	703	100	m12	GI map rep 1	cecum	NA	cecum_NA	10	12	infected	cecum_NA_infected_12	B11	42844	642.5	P1_E2
GIMap_P1_SI_Aq.Org_Mixed_E8.mzXML.Peak.area	196	1047.7	1105.4	57.7	144.25	134.25	278.5	110	288.5	100	m12	GI map rep 1	small intestine	F	small intestine_F	9	12	infected	small intestine_F_infected_12	C1	42844	2737	P1_E8
GIMap_P1_SI_Aq.Org_Mixed_E9.mzXML.Peak.area	197	1048	1143.3	95.3	238.25	228.25	466.5	110	476.5	100	m12	GI map rep 1	small intestine	E	small intestine_E	8	12	infected	small intestine_E_infected_12	C2	42844	25000	P1_E9
GIMap_P1_SI_Aq.Org_Mixed_E10.mzXML.Peak.area	198	1036.6	1279.9	243.3	608.25	598.25	1206.5	110	216.5	100	m12	GI map rep 1	small intestine	D	small intestine_D	7	12	infected	small intestine_D_infected_12	C3	42844	13300	P1_E10
GIMap_P1_SI_Aq.Org_Mixed_E11.mzXML.Peak.area	199	1050.9	1376.9	326	815	805	1620	110	630	100	m12	GI map rep 1	small intestine	C	small intestine_C	6	12	infected	small intestine_C_infected_12	C4	42844	2419	P1_E11
GIMap_P1_SI_Aq.Org_Mixed_E12.mzXML.Peak.area	200	1041.7	1332.8	291.1	727.75	717.75	1445.5	110	455.5	100	m12	GI map rep 1	small intestine	B/a	small intestine_B/a	5	12	infected	small intestine_B/a_infected_12	C5	42844	12620	P1_E12
GIMap_P2_Aq.Org_Mixed_D2.mzXML.Peak.area	202	1038.6	1128.6	90	225	215	440	110	450	100	m12	GI map rep 1	stomach	C	stomach_C	4	12	infected	stomach_C_infected_12	C7	42844	2183	P2_D2
GIMap_P2_Aq.Org_Mixed_D3.mzXML.Peak.area	203	1036.6	1118.3	81.7	204.25	194.25	398.5	110	408.5	100	m12	GI map rep 1	stomach	B	stomach_B	3	12	infected	stomach_B_infected_12	C8	42844	1282	P2_D3
GIMap_P2_Aq.Org_Mixed_D4.mzXML.Peak.area	204	1041.5	1077.6	36.1	90.25	80.25	170.5	110	180.5	100	m12	GI map rep 1	stomach	A	stomach_A	2	12	infected	stomach_A_infected_12	C9	42844	4150	P2_D4
P1_Aq.Org_Mixed_A10.mzXML.Peak.area	205	1033.5	1054.3	20.8	52	52	104	55	104	50	m12	GI map rep 1	oesophagus	NA	oesophagus_NA	1	12	infected	oesophagus_NA_infected_12	C10	42844	1119	P1_A10
GIMap_P1_LI_Aq.Org_Mixed_E4.mzXML.Peak.area	208	1043.9	1117.8	73.9	184.75	174.75	359.5	110	369.5	100	m13	GI map rep 2	large intestine	C	large intestine_C	13	12	infected	large intestine_C_infected_12	A3	42851	987.1	P1_E4
GIMap_P1_LI_Aq.Org_Mixed_E5.mzXML.Peak.area	209	1039.9	1149.4	109.5	273.75	263.75	537.5	110	547.5	100	m13	GI map rep 2	large intestine	B	large intestine_B	12	12	infected	large intestine_B_infected_12	A4	42851	2927	P1_E5
GIMap_P1_LI_Aq.Org_Mixed_E6.mzXML.Peak.area	210	1040.3	1139.1	98.8	247	237	484	110	494	100	m13	GI map rep 2	large intestine	A	large intestine_A	11	12	infected	large intestine_A_infected_12	A5	42851	3635	P1_E6
GIMap_P1_LI_Aq.Org_Mixed_E7.mzXML.Peak.area	211	1044.3	1169	124.7	311.75	301.75	613.5	110	623.5	100	m13	GI map rep 2	cecum	NA	cecum_NA	10	12	infected	cecum_NA_infected_12	A6	42851	305.9	P1_E7
GIMap_P1_SI_Aq.Org_Mixed_F2.mzXML.Peak.area	213	1041.5	1117.8	76.3	190.75	180.75	371.5	110	381.5	100	m13	GI map rep 2	small intestine	F	small intestine_F	9	12	infected	small intestine_F_infected_12	A8	42851	3406	P1_F2
GIMap_P1_SI_Aq.Org_Mixed_F3.mzXML.Peak.area	214	1033.7	1168.2	134.5	336.25	326.25	662.5	110	672.5	100	m13	GI map rep 2	small intestine	E	small intestine_E	8	12	infected	small intestine_E_infected_12	A9	42851	904.6	P1_F3
GIMap_P1_SI_Aq.Org_Mixed_F4.mzXML.Peak.area	215	1040	1288.3	248.3	620.75	610.75	1231.5	110	1241.5	100	m13	GI map rep 2	small intestine	D	small intestine_D	7	12	infected	small intestine_D_infected_12	A10	42851	1274	P1_F4
GIMap_P1_SI_Aq.Org_Mixed_F5.mzXML.Peak.area	216	1037.7	1485.8	448.1	1120.25	1110.25	2230.5	110	1240.5	100	m13	GI map rep 2	small intestine	C	small intestine_C	6	12	infected	small intestine_C_infected_12	A11	42851	1215	P1_F5
GIMap_P1_SI_Aq.Org_Mixed_F6.mzXML.Peak.area	217	1047.5	1470.5	423	1057.5	1047.5	2105	110	1115	100	m13	GI map rep 2	small intestine	B/a	small intestine_B/a	5	12	infected	small intestine_B/a_infected_12	A12	42851	4542	P1_F6
GIMap_P2_Aq.Org_Mixed_D6.mzXML.Peak.area	219	1044	1257.6	213.6	534	524	1058	110	1068	100	m13	GI map rep 2	stomach	C	stomach_C	4	12	infected	stomach_C_infected_12	B2	42851	514.4	P2_D6
GIMap_P2_Aq.Org_Mixed_D7.mzXML.Peak.area	220	1035.5	1145.2	109.7	274.25	264.25	538.5	110	548.5	100	m13	GI map rep 2	stomach	B	stomach_B	3	12	infected	stomach_B_infected_12	B3	42851	858.4	P2_D7
GIMap_P2_Aq.Org_Mixed_D8.mzXML.Peak.area	221	1050.5	1083.6	33.1	82.75	72.75	155.5	110	165.5	100	m13	GI map rep 2	stomach	A	stomach_A	2	12	infected	stomach_A_infected_12	B4	42851	946.1	P2_D8
P1_Aq.Org_Mixed_A11.mzXML.Peak.area	222	1037	1073.5	36.5	91.25	91.25	182.5	110	182.5	100	m13	GI map rep 2	oesophagus	NA	oesophagus_NA	1	12	infected	oesophagus_NA_infected_12	B5	42851	1780	P1_A11
GIMap_P1_LI_Aq.Org_Mixed_E9.mzXML.Peak.area	225	1035	1096.9	61.9	154.75	144.75	299.5	110	309.5	100	m14	GI map rep 2	large intestine	C	large intestine_C	13	12	uninfected	large intestine_C_uninfected_12	B8	42851	42.01	P1_E9
GIMap_P1_LI_Aq.Org_Mixed_E10.mzXML.Peak.area	226	1027.7	1104.5	76.8	192	182	374	110	384	100	m14	GI map rep 2	large intestine	B	large intestine_B	12	12	uninfected	large intestine_B_uninfected_12	B9	42851	42.3	P1_E10
GIMap_P1_LI_Aq.Org_Mixed_E11.mzXML.Peak.area	227	1035.6	1100	64.4	161	151	312	110	322	100	m14	GI map rep 2	large intestine	A	large intestine_A	11	12	uninfected	large intestine_A_uninfected_12	B10	42851	36.33	P1_E11
GIMap_P1_LI_Aq.Org_Mixed_E12.mzXML.Peak.area	228	1047.1	1180.9	133.8	334.5	324.5	659	110	669	100	m14	GI map rep 2	cecum	NA	cecum_NA	10	12	uninfected	cecum_NA_uninfected_12	B11	42851	23.67	P1_E12
GIMap_P1_SI_Aq.Org_Mixed_F8.mzXML.Peak.area	230	1050.7	1119.3	68.6	171.5	161.5	333	110	343	100	m14	GI map rep 2	small intestine	F	small intestine_F	9	12	uninfected	small intestine_F_uninfected_12	c1	42851	38.71	P1_F8
GIMap_P1_SI_Aq.Org_Mixed_F9.mzXML.Peak.area	231	1033.4	1126.1	92.7	231.75	221.75	453.5	110	463.5	100	m14	GI map rep 2	small intestine	E	small intestine_E	8	12	uninfected	small intestine_E_uninfected_12	c2	42851	12.5	P1_F9
GIMap_P1_SI_Aq.Org_Mixed_F10.mzXML.Peak.area	232	1041.6	1218.4	176.8	442	432	874	110	884	100	m14	GI map rep 2	small intestine	D	small intestine_D	7	12	uninfected	small intestine_D_uninfected_12	c3	42851	48.07	P1_F10
GIMap_P1_SI_Aq.Org_Mixed_F11.mzXML.Peak.area	233	1038.7	1342.1	303.4	758.5	748.5	1507	110	517	100	m14	GI map rep 2	small intestine	C	small intestine_C	6	12	uninfected	small intestine_C_uninfected_12	c4	42851	28.82	P1_F11
GIMap_P1_SI_Aq.Org_Mixed_F12.mzXML.Peak.area	234	1037.8	1341.2	303.4	758.5	748.5	1507	110	517	100	m14	GI map rep 2	small intestine	B/a	small intestine_B/a	5	12	uninfected	small intestine_B/a_uninfected_12	c5	42851	76.44	P1_F12
GIMap_P2_Aq.Org_Mixed_D10.mzXML.Peak.area	236	1038.8	1195.3	156.5	391.25	381.25	772.5	110	782.5	100	m14	GI map rep 2	stomach	C	stomach_C	4	12	uninfected	stomach_C_uninfected_12	c7	42851	43.65	P2_D10
GIMap_P2_Aq.Org_Mixed_D11.mzXML.Peak.area	237	1041.4	1105.5	64.1	160.25	150.25	310.5	110	320.5	100	m14	GI map rep 2	stomach	B	stomach_B	3	12	uninfected	stomach_B_uninfected_12	c8	42851	65.87	P2_D11
GIMap_P2_Aq.Org_Mixed_D12.mzXML.Peak.area	238	1035.5	1066.8	31.3	78.25	68.25	146.5	110	156.5	100	m14	GI map rep 2	stomach	A	stomach_A	2	12	uninfected	stomach_A_uninfected_12	c9	42851	44.36	P2_D12
GIMap_P1_LI_Aq.Org_Mixed_F4.mzXML.Peak.area	244	1050.1	1139.4	89.3	223.25	213.25	436.5	110	446.5	100	m15	GI map rep 2	large intestine	A	large intestine_A	11	12	infected	large intestine_A_infected_12	D3	42851	342.2	P1_F4
